Carrier,Year,Service category,Request,Code type,Code,Description of service,Number of requests per code,Expedited - Avg response time,Standard - Avg response time,Extenuating circumstances - Avg response time,Expedited - Number of requests,Standard - Number of requests,Extenuating circumstances - Number of requests,Drug name,Drug brand names,decision
Carrier A,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,E0784,Ext Amb Infusn Pump Insulin,9.0,,25.04,240.0,,,,missing,missing,approved
Carrier A,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,E0781,External Ambulatory Infus Pu,6.0,,,384.0,,,,missing,missing,denied
Carrier A,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,A9279,Monitoring feature/deviceNOC,1.0,,,432.0,,,,missing,missing,denied
Carrier A,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,HCPC,E0784,Ext Amb Infusn Pump Insulin,9.0,,25.04,,,,,missing,missing,approved
Carrier A,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,HCPC,E0781,External Ambulatory Infus Pu,6.0,,,,,,,missing,missing,denied
Carrier A,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,HCPC,A9279,Monitoring feature/deviceNOC,1.0,,,,,,,missing,missing,denied
Carrier B,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,A9276,DISPOSABLE SENSOR FOR CONTINUOUS GLUCOSE MONITOR SYSTEM,30.0,39.07,92.8,0.46,,,,missing,missing,approved
Carrier B,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,A9274,EXTERNAL AMBULATORY  INSULIN DELIVERY SYSTEM,13.0,0.0,92.34,0.0,,,,missing,missing,approved
Carrier B,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,A9277,EXTERNAL TRANSMITTER  CONTINUOUS GLUCOSE MONITOR,71.0,64.63,90.11,0.46,,,,missing,missing,approved
Carrier B,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,A9278,EXTERNAL RECEIVER  FOR CONTINUOUS GLUCOSE MONITOR SYSTEM,21.0,0.0,84.42,0.0,,,,missing,missing,approved
Carrier B,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,E0784,"EXTERNAL AMBULATORY INFUSION PUMP, INSULIN",13.0,0.0,114.75,0.0,,,,missing,missing,approved
Carrier B,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,K0554,THERAPEUTIC  CONTINUOUS GLUCOSE MONITOR RECEIVER/MONITOR,1.0,0.0,193.68,0.0,,,,missing,missing,denied
Carrier B,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,K0553,CONTINUOUS GLUCOSE MONITOR SYSTEM SUPPLIES,1.0,0.0,193.68,0.0,,,,missing,missing,denied
Carrier B,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,HCPC,A9276,DISPOSABLE SENSOR FOR CONTINUOUS GLUCOSE MONITOR SYSTEM,30.0,39.07,92.8,0.46,,,,missing,missing,approved
Carrier B,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,HCPC,A9274,EXTERNAL AMBULATORY  INSULIN DELIVERY SYSTEM,13.0,0.0,92.34,0.0,,,,missing,missing,approved
Carrier B,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,HCPC,A9277,EXTERNAL TRANSMITTER  CONTINUOUS GLUCOSE MONITOR,71.0,64.63,90.11,0.46,,,,missing,missing,approved
Carrier B,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,HCPC,A9278,EXTERNAL RECEIVER  FOR CONTINUOUS GLUCOSE MONITOR SYSTEM,21.0,0.0,84.42,0.0,,,,missing,missing,approved
