"Index","Carrier","Year","Service category","Request","Code type","Code","Description of service","Number of requests per code","Approval rate","Initially denied then approved - approval rate","Expedited - Avg response time","Standard - Avg response time","Extenuating circumstances - Avg response time","Expedited - Number of requests","Standard - Number of requests","Extenuating circumstances - Number of requests","Drug name","Drug brand names"
"1","Carrier A","2020","Diabetes Supplies and Equip","Codes with the highest total number of prior authorization requests during the previous plan year","HCPC","E0784","Ext Amb Infusn Pump Insulin","9","89%",,,"25.04","240",,,,"NA","NA"
"2","Carrier A","2020","Diabetes Supplies and Equip","Codes with the highest total number of prior authorization requests during the previous plan year","HCPC","E0781","External Ambulatory Infus Pu","6","0%",,,,"384",,,,"NA","NA"
"3","Carrier A","2020","Diabetes Supplies and Equip","Codes with the highest total number of prior authorization requests during the previous plan year","HCPC","A9279","Monitoring feature/deviceNOC","1","0%",,,,"432",,,,"NA","NA"
"4","Carrier A","2020","Diabetes Supplies and Equip","Codes with the highest percentage of approved prior authorization requests during the previous plan year","HCPC","E0784","Ext Amb Infusn Pump Insulin","9","89%",,,"25.04",,,,,"NA","NA"
"5","Carrier A","2020","Diabetes Supplies and Equip","Codes with the highest percentage of approved prior authorization requests during the previous plan year","HCPC","E0781","External Ambulatory Infus Pu","6","0%",,,,,,,,"NA","NA"
"6","Carrier A","2020","Diabetes Supplies and Equip","Codes with the highest percentage of approved prior authorization requests during the previous plan year","HCPC","A9279","Monitoring feature/deviceNOC","1","0%",,,,,,,,"NA","NA"
"7","Carrier B","2020","Diabetes Supplies and Equip","Codes with the highest total number of prior authorization requests during the previous plan year","HCPC","A9276","DISPOSABLE SENSOR FOR CONTINUOUS GLUCOSE MONITOR SYSTEM","30","100%",,"39.07","92.8","0.46",,,,"NA","NA"
"8","Carrier B","2020","Diabetes Supplies and Equip","Codes with the highest total number of prior authorization requests during the previous plan year","HCPC","A9274","EXTERNAL AMBULATORY  INSULIN DELIVERY SYSTEM","13","100%",,"0","92.34","0",,,,"NA","NA"
"9","Carrier B","2020","Diabetes Supplies and Equip","Codes with the highest total number of prior authorization requests during the previous plan year","HCPC","A9277","EXTERNAL TRANSMITTER  CONTINUOUS GLUCOSE MONITOR","71","96%",,"64.63","90.11","0.46",,,,"NA","NA"
"10","Carrier B","2020","Diabetes Supplies and Equip","Codes with the highest total number of prior authorization requests during the previous plan year","HCPC","A9278","EXTERNAL RECEIVER  FOR CONTINUOUS GLUCOSE MONITOR SYSTEM","21","95%",,"0","84.42","0",,,,"NA","NA"
"11","Carrier B","2020","Diabetes Supplies and Equip","Codes with the highest total number of prior authorization requests during the previous plan year","HCPC","E0784","EXTERNAL AMBULATORY INFUSION PUMP, INSULIN","13","92%",,"0","114.75","0",,,,"NA","NA"
"12","Carrier B","2020","Diabetes Supplies and Equip","Codes with the highest total number of prior authorization requests during the previous plan year","HCPC","K0554","THERAPEUTIC  CONTINUOUS GLUCOSE MONITOR RECEIVER/MONITOR","1","0%",,"0","193.68","0",,,,"NA","NA"
"13","Carrier B","2020","Diabetes Supplies and Equip","Codes with the highest total number of prior authorization requests during the previous plan year","HCPC","K0553","CONTINUOUS GLUCOSE MONITOR SYSTEM SUPPLIES","1","0%",,"0","193.68","0",,,,"NA","NA"
"14","Carrier B","2020","Diabetes Supplies and Equip","Codes with the highest percentage of approved prior authorization requests during the previous plan year","HCPC","A9276","DISPOSABLE SENSOR FOR CONTINUOUS GLUCOSE MONITOR SYSTEM","30","100%",,"39.07","92.8","0.46",,,,"NA","NA"
"15","Carrier B","2020","Diabetes Supplies and Equip","Codes with the highest percentage of approved prior authorization requests during the previous plan year","HCPC","A9274","EXTERNAL AMBULATORY  INSULIN DELIVERY SYSTEM","13","100%",,"0","92.34","0",,,,"NA","NA"
"16","Carrier B","2020","Diabetes Supplies and Equip","Codes with the highest percentage of approved prior authorization requests during the previous plan year","HCPC","A9277","EXTERNAL TRANSMITTER  CONTINUOUS GLUCOSE MONITOR","71","96%",,"64.63","90.11","0.46",,,,"NA","NA"
"17","Carrier B","2020","Diabetes Supplies and Equip","Codes with the highest percentage of approved prior authorization requests during the previous plan year","HCPC","A9278","EXTERNAL RECEIVER  FOR CONTINUOUS GLUCOSE MONITOR SYSTEM","21","95%",,"0","84.42","0",,,,"NA","NA"
"18","Carrier B","2020","Diabetes Supplies and Equip","Codes with the highest percentage of approved prior authorization requests during the previous plan year","HCPC","E0784","EXTERNAL AMBULATORY INFUSION PUMP, INSULIN","13","92%",,"0","114.75","0",,,,"NA","NA"
"19","Carrier B","2020","Diabetes Supplies and Equip","Codes with the highest percentage of approved prior authorization requests during the previous plan year","HCPC","K0554","THERAPEUTIC  CONTINUOUS GLUCOSE MONITOR RECEIVER/MONITOR","1","0%",,"0","193.68","0",,,,"NA","NA"
"20","Carrier B","2020","Diabetes Supplies and Equip","Codes with the highest percentage of approved prior authorization requests during the previous plan year","HCPC","K0553","CONTINUOUS GLUCOSE MONITOR SYSTEM SUPPLIES","1","0%",,"0","193.68","0",,,,"NA","NA"
"21","Carrier C","2020","Diabetes Supplies and Equip","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","95249","GLUCOSE MONITORING 72 HRS, PT PROVIDED EQUIP, TRAINING AND RECORDING","11","100%",,,"188.2",,,,,"NA","NA"
